trade_date,trade_time,ts_code,name,open,high,low,close,volume,amount,source,created_at,pre_close,avg_price,vwap_cum,ret_from_open,ret_from_prev_min,bar_index,session
20260812,2026-08-12 10:03:00,600150.SH,中国船舶,33.85,33.85,33.83,33.84,171710.0,5810933.0,tushare,2026-08-13 20:05:40,,33.8415526177858,35.96836684921483,-0.015420424789060028,-0.0005906674542232038,30442,morning
20260812,2026-08-12 10:04:00,600150.SH,中国船舶,33.84,33.85,33.82,33.85,174800.0,5913738.0,tushare,2026-08-13 20:05:40,,33.83145308924485,35.96833789010846,-0.01512947337794579,0.00029550827423152626,30443,morning
20260812,2026-08-12 10:05:00,600150.SH,中国船舶,33.84,33.86,33.83,33.83,145300.0,4917653.0,tushare,2026-08-13 20:05:40,,33.84482450103235,35.96831396948702,-0.015711376200174598,-0.0005908419497785422,30444,morning
20260812,2026-08-12 10:06:00,600150.SH,中国船舶,33.83,33.83,33.81,33.83,130036.0,4397697.0,tushare,2026-08-13 20:05:40,,33.81907317973484,35.96829230261899,-0.015711376200174598,0.0,30445,morning
20260812,2026-08-12 10:07:00,600150.SH,中国船舶,33.82,33.83,33.81,33.82,117700.0,3980943.0,tushare,2026-08-13 20:05:40,,33.822795242141034,35.96827272554033,-0.016002327611288836,-0.00029559562518466365,30446,morning
20260812,2026-08-12 10:08:00,600150.SH,中国船舶,33.82,33.83,33.81,33.82,162100.0,5482712.0,tushare,2026-08-13 20:05:40,,33.82302282541641,35.96824576684028,-0.016002327611288836,0.0,30447,morning
20260812,2026-08-12 10:09:00,600150.SH,中国船舶,33.81,33.81,33.76,33.76,216464.0,7315887.0,tushare,2026-08-13 20:05:40,,33.797245731391826,35.968209335406506,-0.017748036077974927,-0.0017740981667653255,30448,morning
20260812,2026-08-12 10:10:00,600150.SH,中国船舶,33.76,33.79,33.76,33.79,151917.0,5132176.0,tushare,2026-08-13 20:05:40,,33.782762956087865,35.96818359756218,-0.01687518184463188,0.0008886255924172026,30449,morning
20260812,2026-08-12 10:11:00,600150.SH,中国船舶,33.78,33.78,33.72,33.72,306683.0,10349477.0,tushare,2026-08-13 20:05:40,,33.74649719743188,35.96813077885425,-0.01891184172243232,-0.0020716188221366894,30450,morning
20260812,2026-08-12 10:12:00,600150.SH,中国船舶,33.71,33.72,33.7,33.71,168949.0,5695231.0,tushare,2026-08-13 20:05:40,,33.70976448514049,35.968101201478774,-0.01920279313354656,-0.00029655990510080166,30451,morning
20260812,2026-08-12 10:13:00,600150.SH,中国船舶,33.72,33.72,33.67,33.67,478951.0,16136862.0,tushare,2026-08-13 20:05:40,,33.69209376324509,35.9680167011764,-0.020366598778003953,-0.0011865915158706386,30452,morning
20260812,2026-08-12 10:14:00,600150.SH,中国船舶,33.68,33.68,33.65,33.66,534095.0,17974726.0,tushare,2026-08-13 20:05:40,,33.65454834814031,35.96792092497753,-0.020657550189118412,-0.00029700029700041597,30453,morning
20260812,2026-08-12 10:15:00,600150.SH,中国船舶,33.66,33.68,33.66,33.68,212086.0,7139226.0,tushare,2026-08-13 20:05:40,,33.66193902473525,35.96788301650568,-0.020075647366889715,0.0005941770647654998,30454,morning
20260812,2026-08-12 10:16:00,600150.SH,中国船舶,33.68,33.68,33.65,33.65,335605.0,11296096.0,tushare,2026-08-13 20:05:40,,33.65890257892463,35.967822953679864,-0.02094850160023276,-0.0008907363420428416,30455,morning
20260812,2026-08-12 10:17:00,600150.SH,中国船舶,33.66,33.66,33.63,33.63,453500.0,15255820.0,tushare,2026-08-13 20:05:40,,33.640176405733186,35.96774113807522,-0.021530404422461347,-0.0005943536404159344,30456,morning
